date,time edt,temp c,spcond (ms/cm),ph,do (mg/l),do (%),turbidity (fnu),chlorophyll (rfu),phycocyanin (rfu),sysbattery
05/02/2016,13:15:00,13.79,1.07,7.42,9.75,94.45,2.36,2.55,.45,12.92
05/02/2016,13:30:00,13.78,1.07,7.42,9.7,94,2.29,2.88,.45,12.88
05/02/2016,13:45:00,13.8,1.07,7.43,9.77,94.72,2.42,3.01,.47,12.84
05/02/2016,14:00:00,13.78,1.07,7.43,9.79,94.84,2.33,3.46,.45,12.87
05/02/2016,14:15:00,13.79,1.08,7.43,9.82,95.16,2.55,2.59,.51,12.78
05/02/2016,14:30:00,13.81,1.08,7.43,9.77,94.69,2.55,2.8,.49,12.89
05/02/2016,14:45:00,13.82,1.09,7.44,9.84,95.39,2.35,2.94,.51,12.82
05/02/2016,15:00:00,13.83,1.1,7.44,9.87,95.7,2.43,2.57,.5,12.87
05/02/2016,15:15:00,13.86,1.12,7.42,9.77,94.79,2.28,3.12,.44,12.79
05/02/2016,15:30:00,13.83,1.12,7.42,9.78,94.83,2.27,5.17,.48,12.76
05/02/2016,15:45:00,13.84,1.12,7.41,9.75,94.58,2.42,3.03,.46,12.78
05/02/2016,16:00:00,13.82,1.12,7.43,9.8,95.07,2.35,2.98,.48,12.82
05/02/2016,16:15:00,13.82,1.11,7.44,9.84,95.42,2.26,3.59,.46,12.81
05/02/2016,16:30:00,13.82,1.11,7.43,9.84,95.41,2.4,2.75,.51,12.78
05/02/2016,16:45:00,13.79,1.1,7.45,9.93,96.24,2.55,3.52,.62,12.82
05/02/2016,17:00:00,13.79,1.1,7.46,9.96,96.51,2.48,3.29,.6,12.74
05/02/2016,17:15:00,13.77,1.1,7.47,9.99,96.77,2.52,4.18,.63,12.77
05/02/2016,17:30:00,13.76,1.08,7.49,10.09,97.69,2.5,3.69,.69,12.73
05/02/2016,17:45:00,13.75,1.07,7.5,10.1,97.79,2.62,3.75,.69,12.74
05/02/2016,18:00:00,13.75,1.07,7.5,10.13,98.12,2.54,4.76,.77,12.78
05/02/2016,18:15:00,13.75,1.07,7.5,10.09,97.68,2.49,3.9,.69,12.71
05/02/2016,18:30:00,13.75,1.06,7.5,10.1,97.81,2.5,3.89,.7,12.71
05/02/2016,18:45:00,13.74,1.07,7.49,10.06,97.35,2.56,4.02,.77,12.82
05/02/2016,19:00:00,13.75,1.07,7.49,10.05,97.25,2.62,3.63,.71,12.73
05/02/2016,19:15:00,13.74,1.07,7.47,9.97,96.49,2.52,3.37,.68,12.71
05/02/2016,19:30:00,13.74,1.07,7.47,9.92,96.03,2.57,3.76,.77,12.71
05/02/2016,19:45:00,13.74,1.07,7.46,9.89,95.74,2.57,3.68,.8,12.71
05/02/2016,20:00:00,13.72,1.07,7.46,9.87,95.52,2.57,3.85,.76,12.71
05/02/2016,20:15:00,13.73,1.07,7.45,9.82,94.97,2.42,4.07,.78,12.7
05/02/2016,20:30:00,13.73,1.07,7.44,9.78,94.59,2.47,4.02,.73,12.7
05/02/2016,20:45:00,13.72,1.07,7.44,9.76,94.42,2.54,3.88,.73,12.7
05/02/2016,21:00:00,13.72,1.07,7.42,9.68,93.63,2.49,3.68,.72,12.74
05/02/2016,21:15:00,13.71,1.07,7.4,9.56,92.51,2.3,4.09,.73,12.69
05/02/2016,21:30:00,13.7,1.07,7.41,9.63,93.08,2.56,3.43,.69,12.69
05/02/2016,21:45:00,13.72,1.07,7.42,9.69,93.77,2.65,3.11,.7,12.7
05/02/2016,22:00:00,13.7,1.07,7.42,9.69,93.68,2.45,3.73,.71,12.69
05/02/2016,22:15:00,13.69,1.07,7.42,9.72,93.94,2.38,4.48,.73,12.68
05/02/2016,22:30:00,13.68,1.07,7.41,9.63,93.09,2.52,3.58,.76,12.68
05/02/2016,22:45:00,13.66,1.07,7.42,9.66,93.36,2.5,2.96,.72,12.7
05/02/2016,23:00:00,13.65,1.07,7.41,9.65,93.25,2.41,3.82,.69,12.7
05/02/2016,23:15:00,13.64,1.07,7.42,9.67,93.44,2.75,3.83,.72,12.68
05/02/2016,23:30:00,13.64,1.07,7.44,9.82,94.81,2.66,3.9,.75,12.62
05/02/2016,23:45:00,13.62,1.07,7.43,9.78,94.37,2.56,4.52,.73,12.69
05/03/2016,00:00:00,13.63,1.07,7.44,9.81,94.69,2.31,3.51,.7,12.72
05/03/2016,00:15:00,13.61,1.07,7.43,9.79,94.46,2.4,3.83,.72,12.68
05/03/2016,00:30:00,13.61,1.07,7.44,9.81,94.7,2.59,4.1,.77,12.69
05/03/2016,00:45:00,13.6,1.07,7.43,9.77,94.24,2.7,2.93,.71,12.68
05/03/2016,01:00:00,13.59,1.07,7.41,9.66,93.17,2.48,3.15,.68,12.63
05/03/2016,01:15:00,13.59,1.07,7.41,9.67,93.26,2.29,3.41,.71,12.68
05/03/2016,01:30:00,13.57,1.07,7.4,9.59,92.47,2.5,3.23,.69,12.71
05/03/2016,01:45:00,13.57,1.07,7.4,9.57,92.32,2.61,3.69,.74,12.62
05/03/2016,02:00:00,13.56,1.07,7.39,9.51,91.67,2.55,3.51,.69,12.67
05/03/2016,02:15:00,13.54,1.07,7.38,9.47,91.3,2.36,3.01,.62,12.63
05/03/2016,02:30:00,13.55,1.07,7.39,9.52,91.79,2.42,3.8,.71,12.63
05/03/2016,02:45:00,13.54,1.07,7.39,9.48,91.37,2.19,2.96,.64,12.62
05/03/2016,03:00:00,13.52,1.07,7.37,9.4,90.5,2.42,3.2,.64,12.62
05/03/2016,03:15:00,13.51,1.07,7.39,9.55,91.93,2.31,3.81,.67,12.66
05/03/2016,03:30:00,13.5,1.07,7.42,9.73,93.69,2.52,3.58,.69,12.63
05/03/2016,03:45:00,13.51,1.07,7.42,9.73,93.74,2.9,5.03,.76,12.61
05/03/2016,04:00:00,13.51,1.08,7.41,9.7,93.43,2.52,3.58,.71,12.62
05/03/2016,04:15:00,13.51,1.08,7.41,9.7,93.45,2.43,3.19,.67,12.6
05/03/2016,04:30:00,13.5,1.08,7.41,9.71,93.46,2.52,3.77,.73,12.59
05/03/2016,04:45:00,13.49,1.08,7.41,9.71,93.5,2.53,3.85,.76,12.62
05/03/2016,05:00:00,13.48,1.08,7.41,9.69,93.24,2.67,3.46,.75,12.71
05/03/2016,05:15:00,13.47,1.09,7.4,9.66,92.93,2.66,2.96,.65,12.62
05/03/2016,05:30:00,13.47,1.09,7.4,9.63,92.64,2.28,3.09,.59,12.6
05/03/2016,05:45:00,13.47,1.1,7.4,9.62,92.56,2.37,4.73,.69,12.63
05/03/2016,06:00:00,13.45,1.1,7.39,9.6,92.3,2.32,3.9,.65,12.57
05/03/2016,06:15:00,13.44,1.1,7.39,9.6,92.26,2.72,2.96,.57,12.57
05/03/2016,06:30:00,13.42,1.09,7.39,9.63,92.53,2.39,2.69,.59,12.61
05/03/2016,06:45:00,13.44,1.09,7.4,9.63,92.58,2.26,3.94,.57,12.59
05/03/2016,07:00:00,13.45,1.09,7.4,9.64,92.74,2.55,3,.58,12.6
05/03/2016,07:15:00,13.44,1.09,7.4,9.64,92.71,2.5,3.09,.59,12.59
05/03/2016,07:30:00,13.45,1.09,7.4,9.62,92.49,2.32,2.92,.56,12.58
05/03/2016,07:45:00,13.43,1.09,7.4,9.65,92.81,2.44,2.78,.54,12.72
05/03/2016,08:00:00,13.44,1.09,7.4,9.66,92.88,2.43,3.33,.53,12.62
05/03/2016,08:15:00,13.44,1.09,7.4,9.62,92.46,2.35,3.01,.54,12.63
05/03/2016,08:30:00,13.43,1.09,7.4,9.6,92.33,2.61,2.61,.49,12.6
05/03/2016,08:45:00,13.43,1.09,7.4,9.6,92.29,2.36,3.1,.5,12.67
05/03/2016,09:00:00,13.43,1.09,7.4,9.67,92.94,2.49,2.89,.52,12.61
05/03/2016,09:15:00,13.43,1.09,7.4,9.62,92.5,2.48,2.63,.57,12.63
05/03/2016,09:30:00,13.44,1.09,7.41,9.69,93.16,2.24,2.87,.55,12.74
05/03/2016,09:45:00,13.45,1.09,7.41,9.66,92.87,2.71,2.79,.53,12.72
05/03/2016,10:00:00,13.46,1.09,7.41,9.69,93.22,2.55,2.68,.54,12.81
05/03/2016,10:15:00,13.49,1.09,7.42,9.75,93.82,2.47,2.77,.52,12.84
05/03/2016,10:30:00,13.48,1.09,7.42,9.73,93.62,2.42,2.66,.56,12.89
05/03/2016,10:45:00,13.49,1.09,7.42,9.73,93.68,2.38,2.58,.56,12.99
05/03/2016,11:00:00,13.5,1.09,7.43,9.79,94.24,2.51,3.24,.57,13.05
05/03/2016,11:15:00,13.53,1.09,7.43,9.81,94.55,2.61,2.55,.56,13.06
05/03/2016,11:30:00,13.53,1.09,7.44,9.8,94.44,2.37,3.29,.57,12.83
05/03/2016,11:45:00,13.54,1.09,7.44,9.82,94.62,2.6,3.18,.63,12.89
05/03/2016,12:00:00,13.54,1.09,7.44,9.85,94.95,2.45,3.38,.63,12.89
05/03/2016,12:15:00,13.51,1.09,7.45,9.92,95.56,2.59,2.3,.56,12.98
05/03/2016,12:30:00,13.52,1.09,7.46,9.94,95.77,2.4,3.18,.6,12.99
05/03/2016,12:45:00,13.56,1.09,7.48,10.04,96.8,2.32,3.13,.64,12.99
05/03/2016,13:00:00,13.56,1.09,7.49,10.09,97.29,2.47,5.06,.64,12.92
05/03/2016,13:15:00,13.57,1.09,7.49,10.06,97.01,2.33,3.8,.63,12.95
05/03/2016,13:30:00,13.58,1.09,7.5,10.11,97.5,2.49,3.51,.69,12.99
05/03/2016,13:45:00,13.62,1.09,7.5,10.11,97.64,2.51,4.46,.66,12.94
05/03/2016,14:00:00,13.62,1.09,7.51,10.12,97.72,2.56,3.31,.63,12.94
05/03/2016,14:15:00,13.6,1.09,7.49,10.07,97.2,2.44,3.67,.61,12.87
05/03/2016,14:30:00,13.59,1.09,7.48,10.01,96.55,2.46,2.92,.57,12.88
05/03/2016,14:45:00,13.58,1.09,7.48,10.01,96.51,2.36,2.74,.54,12.85
05/03/2016,15:00:00,13.59,1.09,7.49,10.03,96.78,2.48,3.31,.61,12.81
05/03/2016,15:15:00,13.58,1.09,7.49,10.04,96.83,2.29,2.6,.59,12.71
05/03/2016,15:30:00,13.57,1.09,7.5,10.06,96.99,2.41,3.16,.61,12.77
05/03/2016,15:45:00,13.58,1.09,7.5,10.06,97.01,2.37,3.4,.63,12.7
05/03/2016,16:00:00,13.57,1.09,7.49,10.02,96.66,2.39,2.91,.64,12.71
05/03/2016,16:15:00,13.57,1.09,7.49,10.03,96.7,2.42,3.28,.61,12.72
05/03/2016,16:30:00,13.56,1.09,7.49,10.03,96.72,2.37,3.16,.6,12.71
05/03/2016,16:45:00,13.55,1.09,7.49,10.05,96.89,2.42,3.7,.64,12.76
05/03/2016,17:00:00,13.55,1.09,7.49,10.03,96.73,2.5,3.44,.64,12.75
05/03/2016,17:15:00,13.55,1.09,7.5,10.04,96.72,2.37,3.57,.59,12.68
05/03/2016,17:30:00,13.54,1.09,7.49,10.06,96.93,2.34,4.48,.61,12.62
05/03/2016,17:45:00,13.53,1.09,7.48,10.03,96.65,2.27,3.11,.63,12.73
05/03/2016,18:00:00,13.54,1.09,7.48,9.97,96.09,2.19,3.05,.61,12.59
05/03/2016,18:15:00,13.52,1.09,7.48,10.01,96.47,2.43,3.66,.57,12.61
05/03/2016,18:30:00,13.51,1.09,7.49,10.06,96.88,2.43,3.08,.59,12.56
05/03/2016,18:45:00,13.51,1.09,7.49,10.05,96.77,2.28,5.11,.61,12.6
05/03/2016,19:00:00,13.51,1.09,7.49,10.07,96.94,2.37,3.57,.64,12.54
05/03/2016,19:15:00,13.5,1.09,7.49,10.05,96.78,2.36,3,.61,12.57
05/03/2016,19:30:00,13.48,1.09,7.48,10.03,96.54,2.45,3.24,.68,12.52
05/03/2016,19:45:00,13.48,1.09,7.48,10.01,96.38,2.46,5.41,.68,12.52
05/03/2016,20:00:00,13.48,1.09,7.47,10.01,96.33,2.24,3.89,.72,12.5
05/03/2016,20:15:00,13.47,1.09,7.47,9.98,96.07,2.3,3.37,.72,12.46
05/03/2016,20:30:00,13.46,1.09,7.47,9.98,95.95,2.32,3.45,.71,12.51
05/03/2016,20:45:00,13.46,1.09,7.47,9.97,95.91,2.52,2.55,.62,12.5
05/03/2016,21:00:00,13.45,1.09,7.46,9.96,95.78,2.43,3.88,.68,12.53
05/03/2016,21:15:00,13.44,1.09,7.46,9.95,95.67,2.26,4.11,.75,12.54
05/03/2016,21:30:00,13.43,1.09,7.46,9.94,95.61,2.79,3.5,.78,12.53
05/03/2016,21:45:00,13.41,1.09,7.46,9.94,95.51,2.74,3.56,.69,12.62
05/03/2016,22:00:00,13.4,1.09,7.46,9.92,95.3,2.5,3.59,.75,12.52
05/03/2016,22:15:00,13.4,1.09,7.45,9.89,95.04,2.71,2.93,.66,12.5
05/03/2016,22:30:00,13.41,1.09,7.44,9.82,94.37,2.53,2.77,.64,12.5
05/03/2016,22:45:00,13.4,1.09,7.44,9.84,94.51,2.8,2.88,.7,12.48
05/03/2016,23:00:00,13.39,1.09,7.43,9.83,94.41,2.52,2.97,.57,12.6
05/03/2016,23:15:00,13.38,1.09,7.43,9.83,94.45,2.45,3.48,.72,12.59
05/03/2016,23:30:00,13.38,1.09,7.44,9.85,94.61,2.39,3.6,.67,12.5
05/03/2016,23:45:00,13.39,1.09,7.43,9.85,94.61,2.09,2.96,.59,12.51
05/04/2016,00:00:00,13.38,1.09,7.43,9.84,94.49,2.51,3.55,.71,12.48
05/04/2016,00:15:00,13.38,1.09,7.43,9.82,94.34,2.35,3.43,.61,12.54
05/04/2016,00:30:00,13.37,1.08,7.44,9.85,94.58,2.53,2.78,.63,12.56
05/04/2016,00:45:00,13.36,1.08,7.44,9.9,95.07,2.15,3.29,.65,12.54
05/04/2016,01:00:00,13.36,1.09,7.43,9.83,94.36,2.19,3.07,.62,12.51
05/04/2016,01:15:00,13.34,1.08,7.42,9.73,93.35,2.45,3.15,.6,12.5
05/04/2016,01:30:00,13.33,1.08,7.41,9.71,93.15,2.57,2.88,.62,12.43
05/04/2016,01:45:00,13.31,1.08,7.41,9.71,93.09,2.2,2.68,.57,12.49
05/04/2016,02:00:00,13.32,1.08,7.4,9.67,92.7,2.57,4.92,.62,12.44
05/04/2016,02:15:00,13.31,1.08,7.42,9.77,93.65,2.27,3.59,.72,12.46
05/04/2016,02:30:00,13.32,1.08,7.42,9.78,93.82,2.13,4.7,.61,12.5
05/04/2016,02:45:00,13.31,1.08,7.43,9.83,94.2,2.43,3,.59,12.45
05/04/2016,03:00:00,13.31,1.08,7.43,9.84,94.34,2.5,3.32,.64,12.44
05/04/2016,03:15:00,13.31,1.08,7.41,9.76,93.57,2.34,2.9,.63,12.46
05/04/2016,03:30:00,13.3,1.09,7.43,9.83,94.24,2.39,3.2,.61,12.57
05/04/2016,03:45:00,13.31,1.09,7.42,9.82,94.14,2.52,3.11,.67,12.46
05/04/2016,04:00:00,13.29,1.09,7.42,9.8,93.95,2.22,3.43,.65,12.55
05/04/2016,04:15:00,13.27,1.09,7.41,9.75,93.42,2.29,3.33,.57,12.56
05/04/2016,04:30:00,13.26,1.09,7.41,9.77,93.53,2.45,2.91,.61,12.46
05/04/2016,04:45:00,13.25,1.09,7.41,9.77,93.53,2.66,4.17,.7,12.46
05/04/2016,05:00:00,13.24,1.09,7.41,9.76,93.46,2.32,2.98,.6,12.45
05/04/2016,05:15:00,13.24,1.09,7.41,9.76,93.42,2.33,2.6,.61,12.44
05/04/2016,05:30:00,13.25,1.09,7.41,9.76,93.44,2.72,2.66,.62,12.44
05/04/2016,05:45:00,13.23,1.09,7.39,9.61,91.93,2.42,3.22,.61,12.44
05/04/2016,06:00:00,13.23,1.09,7.4,9.71,92.98,2.33,2.53,.59,12.54
05/04/2016,06:15:00,13.22,1.1,7.4,9.69,92.7,2.38,3.04,.53,12.5
05/04/2016,06:30:00,13.22,1.1,7.41,9.75,93.27,2.27,3.55,.64,12.46
05/04/2016,06:45:00,13.2,1.09,7.41,9.72,92.93,2.6,3.26,.6,12.48
05/04/2016,07:00:00,13.19,1.08,7.41,9.69,92.69,2.43,2.94,.56,12.39
05/04/2016,07:15:00,13.19,1.09,7.41,9.71,92.8,2.57,2.78,.57,12.54
05/04/2016,07:30:00,13.19,1.09,7.41,9.7,92.8,2.45,3.43,.59,12.4
05/04/2016,07:45:00,13.19,1.09,7.41,9.69,92.64,2.58,2.86,.55,12.58
05/04/2016,08:00:00,13.19,1.09,7.41,9.71,92.84,2.47,2.8,.55,12.53
05/04/2016,08:15:00,13.19,1.09,7.41,9.7,92.73,2.43,2.7,.51,12.63
05/04/2016,08:30:00,13.19,1.09,7.41,9.71,92.86,2.63,2.44,.55,12.57
05/04/2016,08:45:00,13.19,1.09,7.41,9.71,92.87,2.57,2.77,.51,12.6
05/04/2016,09:00:00,13.19,1.09,7.41,9.71,92.88,2.53,2.84,.52,12.68
05/04/2016,09:15:00,13.19,1.09,7.42,9.75,93.22,2.52,3.32,.58,12.68
05/04/2016,09:30:00,13.2,1.09,7.42,9.78,93.52,2.5,3.02,.57,12.57
05/04/2016,09:45:00,13.2,1.09,7.43,9.79,93.63,2.48,2.57,.54,12.71
05/04/2016,10:00:00,13.23,1.09,7.43,9.82,93.97,2.49,2.48,.5,12.93
05/04/2016,10:15:00,13.25,1.09,7.44,9.84,94.26,2.37,2.08,.52,13.05
05/04/2016,10:30:00,13.26,1.09,7.45,9.87,94.53,2.41,2.51,.51,12.92
05/04/2016,10:45:00,13.27,1.09,7.45,9.89,94.77,2.49,2.42,.5,12.72
05/04/2016,11:00:00,13.27,1.09,7.45,9.9,94.84,2.38,2.5,.53,12.72
05/04/2016,11:15:00,13.26,1.1,7.46,9.92,94.98,2.28,3.14,.54,12.87
05/04/2016,11:30:00,13.26,1.1,7.46,9.94,95.17,2.37,2.55,.51,12.71
05/04/2016,11:45:00,13.27,1.1,7.46,9.96,95.37,2.42,2.46,.51,12.94
05/04/2016,12:00:00,13.29,1.1,7.47,9.96,95.46,2.36,1.84,.49,12.85
05/04/2016,12:15:00,13.3,1.11,7.45,9.91,95,2.38,2.27,.47,12.89
05/04/2016,12:30:00,13.32,1.11,7.45,9.89,94.89,2.34,1.89,.45,12.95
05/04/2016,12:45:00,13.33,1.11,7.46,9.94,95.34,2.2,2.26,.45,12.94
05/04/2016,13:00:00,13.33,1.12,7.45,9.9,94.96,2.38,1.79,.43,13.01
05/04/2016,13:15:00,13.35,1.12,7.46,9.93,95.35,2.14,2.1,.43,13.07
05/04/2016,13:30:00,13.36,1.12,7.47,9.94,95.42,2.35,2.14,.45,13.15
05/04/2016,13:45:00,13.38,1.12,7.48,9.98,95.85,2.24,2.18,.43,13.23
