date,time,temp c,spcond (ms/cm),ph,do (mg/l),do (%),turbidity (fnu),chlorophyll (rfu),phycocyanin (rfu),sysbattery
05/11/2017,16:30:00,14.86,.82,7.06,8.23,81.57,1.84,1.13,.31,12.69
05/11/2017,16:45:00,14.89,.82,7.06,8.23,81.66,1.81,1.12,.29,12.56
05/11/2017,17:00:00,14.89,.82,7.08,8.26,81.94,1.84,1.28,.3,12.33
05/11/2017,17:15:00,14.79,.82,7.1,8.23,81.39,1.93,1.22,.31,12.27
05/11/2017,17:30:00,14.86,.82,7.11,8.28,82.08,1.77,1.14,.32,12.19
05/11/2017,17:45:00,14.72,.82,7.06,8.25,81.55,1.89,1.37,.31,12.11
05/11/2017,18:00:00,14.67,.82,7.06,8.24,81.38,2,1.26,.29,12.17
05/11/2017,18:15:00,14.66,.82,7.08,8.24,81.3,1.92,1.36,.32,12.16
05/11/2017,18:30:00,14.58,.82,7.07,8.23,81.04,1.9,1.94,.29,12.15
05/11/2017,18:45:00,14.53,.82,7.06,8.17,80.39,1.88,1.25,.32,12.21
05/11/2017,19:00:00,14.52,.82,7.08,8.14,80.1,1.96,1.36,.33,12.13
05/11/2017,19:15:00,14.48,.82,7.06,8.14,80,1.89,1.14,.3,12.14
05/11/2017,19:30:00,14.44,.82,7.07,8.12,79.75,1.89,1.15,.29,12.11
05/11/2017,19:45:00,14.4,.82,7.06,8.11,79.55,1.94,1.13,.28,12.11
05/11/2017,20:00:00,14.38,.83,7.06,8.11,79.56,1.86,1.25,.29,12.11
05/11/2017,20:15:00,14.35,.82,7.08,8.05,78.89,1.97,1.26,.31,12.1
05/11/2017,20:30:00,14.32,.82,7.09,8,78.4,1.86,1.19,.31,12.13
05/11/2017,20:45:00,14.28,.83,7.08,8.03,78.63,1.9,1.2,.32,12.09
05/11/2017,21:00:00,14.27,.83,7.09,8.03,78.6,1.96,1.24,.3,12.18
05/11/2017,21:15:00,14.27,.83,7.08,8,78.27,2.1,1.06,.3,12.15
05/11/2017,21:30:00,14.26,.83,7.08,8.01,78.36,1.97,1.15,.27,12.05
05/11/2017,21:45:00,14.28,.83,7.08,8.03,78.61,1.97,1.11,.28,12.15
05/11/2017,22:00:00,14.26,.83,7.08,8.03,78.52,1.96,1.12,.3,12.11
05/11/2017,22:15:00,14.24,.83,7.08,8.03,78.57,1.9,1.12,.27,12.03
05/11/2017,22:30:00,14.22,.83,7.08,8.05,78.64,1.89,1.12,.3,12.1
05/11/2017,22:45:00,14.22,.83,7.08,8.04,78.58,2.1,1.54,.31,12.11
05/11/2017,23:00:00,14.2,.83,7.08,8.04,78.57,1.95,1.24,.3,12.07
05/11/2017,23:15:00,14.23,.84,7.09,8.04,78.56,2.07,1.09,.33,12.09
05/11/2017,23:30:00,14.19,.83,7.08,8.03,78.45,2.04,1.21,.3,12.08
05/11/2017,23:45:00,14.23,.84,7.08,8.03,78.5,2,.97,.29,12.15
05/12/2017,00:00:00,14.21,.84,7.09,8.03,78.5,1.92,1.14,.32,12.16
05/12/2017,00:15:00,14.25,.83,7.08,8.01,78.32,2.05,1.15,.28,12.11
05/12/2017,00:30:00,14.24,.83,7.08,8,78.21,1.93,1.12,.3,12.11
05/12/2017,00:45:00,14.26,.83,7.09,8.01,78.39,1.99,1.2,.29,12.14
05/12/2017,01:00:00,14.27,.83,7.09,8.04,78.68,1.94,1.18,.3,12.07
05/12/2017,01:15:00,14.28,.83,7.09,8.05,78.73,1.89,1.18,.27,12.07
05/12/2017,01:30:00,14.27,.83,7.09,8.06,78.91,2.16,1.36,.3,12.08
05/12/2017,01:45:00,14.28,.83,7.1,8.04,78.7,2.17,1.41,.35,12.1
05/12/2017,02:00:00,14.28,.83,7.09,8.04,78.65,1.98,1.17,.31,12.04
05/12/2017,02:15:00,14.27,.83,7.09,8.03,78.62,1.94,1.19,.31,12.03
05/12/2017,02:30:00,14.26,.83,7.08,8.01,78.31,1.9,1.19,.32,12.03
05/12/2017,02:45:00,14.25,.83,7.08,8,78.3,2.03,1.11,.29,12.05
05/12/2017,03:00:00,14.25,.83,7.08,7.98,78.07,1.92,1.27,.29,12
05/12/2017,03:15:00,14.24,.83,7.08,7.96,77.89,1.89,1.56,.31,11.99
05/12/2017,03:30:00,14.23,.83,7.08,7.97,77.87,1.96,1.31,.33,12.12
05/12/2017,03:45:00,14.23,.83,7.08,7.98,77.99,2.06,1.9,.33,12.09
05/12/2017,04:00:00,14.23,.83,7.08,7.98,78.04,1.97,1.29,.3,12.02
05/12/2017,04:15:00,14.21,.83,7.08,8,78.19,1.85,1.24,.3,12.1
05/12/2017,04:30:00,14.2,.83,7.08,7.94,77.62,2,2.64,.3,12.01
05/12/2017,04:45:00,14.2,.83,7.08,7.95,77.68,1.82,1.05,.34,12.01
05/12/2017,05:00:00,14.16,.83,7.09,7.94,77.54,1.79,1.19,.3,12.01
05/12/2017,05:15:00,14.18,.83,7.07,7.89,77.09,2.21,1.18,.32,12.01
05/12/2017,05:30:00,14.16,.84,7.07,7.91,77.19,2.03,1.29,.3,12.03
05/12/2017,05:45:00,14.14,.84,7.08,7.97,77.8,2.06,1.17,.29,12.05
05/12/2017,06:00:00,14.13,.84,7.08,7.97,77.74,1.84,1.08,.29,12.08
05/12/2017,06:15:00,14.14,.84,7.08,7.96,77.68,1.92,1.1,.28,11.98
05/12/2017,06:30:00,14.13,.84,7.08,7.94,77.44,1.8,1.09,.29,12
05/12/2017,06:45:00,14.14,.84,7.08,8,78.07,1.94,1.15,.33,12.02
05/12/2017,07:00:00,14.12,.84,7.08,8.01,78.14,2.08,1.06,.29,12.01
05/12/2017,07:15:00,14.13,.84,7.09,8.02,78.21,1.91,1.14,.31,12.07
05/12/2017,07:30:00,14.15,.84,7.07,8.04,78.43,1.9,1.43,.3,12.06
05/12/2017,07:45:00,14.15,.84,7.07,8.01,78.22,1.9,1.29,.32,12.15
05/12/2017,08:00:00,14.18,.84,7.07,8.1,79.15,1.88,1.19,.31,12.11
05/12/2017,08:15:00,14.17,.83,7.09,8.13,79.34,1.9,1.24,.34,12.01
05/12/2017,08:30:00,14.27,.82,7.1,8.13,79.59,2.1,1.65,.35,12.01
05/12/2017,08:45:00,14.24,.83,7.11,8.12,79.41,1.96,1.33,.34,12.15
05/12/2017,09:00:00,14.25,.83,7.1,8.13,79.46,2.04,1.35,.33,12.1
05/12/2017,09:15:00,14.25,.83,7.11,8.13,79.48,2.04,1.44,.35,12.1
05/12/2017,09:30:00,14.25,.83,7.11,8.15,79.68,2.1,1.29,.36,12.25
05/12/2017,09:45:00,14.27,.83,7.11,8.17,79.93,2.06,1.14,.36,12.28
05/12/2017,10:00:00,14.31,.83,7.11,8.19,80.23,1.99,1.25,.36,12.32
05/12/2017,10:15:00,14.32,.83,7.05,8.17,80.02,1.96,1.27,.35,12.33
05/12/2017,10:30:00,14.29,.83,7.04,8.14,79.68,2.01,1.29,.34,12.33
05/12/2017,10:45:00,14.29,.83,7.05,8.11,79.41,1.99,1.24,.36,12.28
05/12/2017,11:00:00,14.29,.83,7.05,8.12,79.52,1.9,1.29,.33,12.23
05/12/2017,11:15:00,14.36,.83,7.07,8.21,80.48,2.05,1.71,.35,12.36
05/12/2017,11:30:00,14.38,.83,7.06,8.22,80.6,2.01,1.35,.34,12.39
05/12/2017,11:45:00,14.42,.83,7.08,8.23,80.79,2.02,1.27,.34,12.52
05/12/2017,12:00:00,14.42,.83,7.06,8.2,80.52,2,1.32,.34,12.52
05/12/2017,12:15:00,14.44,.84,7.06,8.16,80.13,1.95,1.29,.33,12.45
05/12/2017,12:30:00,14.41,.84,7.06,8.1,79.45,1.99,1.35,.33,12.35
05/12/2017,12:45:00,14.33,.84,7.05,8.12,79.6,1.95,1.17,.31,12.48
05/12/2017,13:00:00,14.53,.84,7.06,8.16,80.34,1.93,1.25,.33,12.48
05/12/2017,13:15:00,14.66,.84,7.06,8.2,80.9,2.03,1.27,.31,12.54
05/12/2017,13:30:00,14.76,.84,7.06,8.23,81.43,1.86,1.05,.36,12.62
05/12/2017,13:45:00,14.86,.84,7.07,8.25,81.82,2.06,1.3,.32,12.61
05/12/2017,14:00:00,14.95,.84,7.07,8.26,82,1.9,1.19,.34,12.68
05/12/2017,14:15:00,15.04,.84,7.06,8.29,82.45,1.89,1.21,.33,12.77
05/12/2017,14:30:00,15.11,.84,7.07,8.3,82.69,1.92,1.34,.35,12.84
05/12/2017,14:45:00,15.18,.84,7.06,8.32,82.98,1.94,1.25,.33,12.62
05/12/2017,15:00:00,15.28,.84,7.08,8.34,83.45,1.91,1.2,.35,12.71
05/12/2017,15:15:00,15.21,.84,7.07,8.34,83.26,1.93,1.33,.33,12.68
05/12/2017,15:30:00,15.22,.84,7.09,8.36,83.51,1.94,1.42,.37,12.65
05/12/2017,15:45:00,15.01,.84,7.07,8.33,82.85,1.91,1.33,.34,12.7
05/12/2017,16:00:00,15.18,.84,7.09,8.36,83.42,1.96,1.31,.37,12.47
05/12/2017,16:15:00,15.23,.84,7.08,8.41,84.02,1.91,1.45,.36,12.72
05/12/2017,16:30:00,15.18,.84,7.09,8.41,83.9,1.92,1.5,.36,12.69
05/12/2017,16:45:00,15.25,.84,7.1,8.45,84.5,1.89,1.49,.39,12.72
05/12/2017,17:00:00,15.18,.84,7.09,8.39,83.77,1.99,1.53,.36,12.74
05/12/2017,17:15:00,15.24,.84,7.12,8.43,84.29,1.95,1.51,.37,12.74
05/12/2017,17:30:00,15.1,.83,7.11,8.41,83.83,2,1.44,.37,12.73
05/12/2017,17:45:00,15.04,.83,7.08,8.36,83.15,1.96,1.33,.35,12.62
05/12/2017,18:00:00,14.95,.83,7.09,8.34,82.8,1.99,1.35,.33,12.63
05/12/2017,18:15:00,14.93,.83,7.1,8.33,82.66,1.95,1.28,.31,12.68
05/12/2017,18:30:00,14.84,.83,7.06,8.25,81.77,1.95,1.01,.32,12.55
05/12/2017,18:45:00,14.77,.83,7.07,8.2,81.11,2,1.14,.29,12.61
05/12/2017,19:00:00,14.75,.83,7.06,8.18,80.88,2.1,1.33,.32,12.33
05/12/2017,19:15:00,14.75,.83,7.08,8.22,81.23,2.49,1.32,.3,12.21
05/12/2017,19:30:00,14.73,.84,7.08,8.22,81.23,2.07,2.03,.32,12.16
05/12/2017,19:45:00,14.72,.84,7.06,8.21,81.17,1.95,1.32,.33,12.13
05/12/2017,20:00:00,14.73,.83,7.06,8.23,81.33,1.98,1.9,.32,12.13
05/12/2017,20:15:00,14.7,.83,7.08,8.24,81.41,2,2.01,.34,12.22
05/12/2017,20:30:00,14.69,.83,7.07,8.24,81.36,1.94,1.36,.32,12.15
05/12/2017,20:45:00,14.67,.83,7.08,8.2,80.97,1.95,2.03,.33,12.15
05/12/2017,21:00:00,14.67,.83,7.08,8.2,80.9,1.95,1.4,.35,12.11
05/12/2017,21:15:00,14.66,.83,7.08,8.19,80.79,1.97,1.64,.35,12.08
05/12/2017,21:30:00,14.64,.83,7.08,8.19,80.8,2.06,1.32,.34,12.13
