date,time edt,temp c,spcond (ms/cm),ph,do (mg/l),do (%),turbidity (fnu),chlorophyll (rfu),phycocyanin (rfu)
08/06/2020,11:31,26.92,2.12,8.61,8.98,113.2,6.39,.47,2.12
08/06/2020,11:46,27.07,2.12,8.59,9.2,116.3,6.82,.4,2.19
08/06/2020,12:01,27.13,2.12,8.61,9.41,119.1,7.17,.43,2.39
08/06/2020,12:16,27.37,2.12,8.65,9.62,122.3,7.04,.45,1.6
08/06/2020,12:31,27.47,2.12,8.69,9.71,123.6,7.08,.43,2.56
08/06/2020,12:46,27.66,2.12,8.73,9.88,126.2,7.38,.42,2.3
08/06/2020,13:01,27.6,2.12,8.72,9.75,124.4,7.13,.44,2.53
08/06/2020,13:16,27.84,2.12,8.75,9.98,127.9,7.04,.41,2.47
08/06/2020,13:31,28.1,2.11,8.81,10.26,132.1,7.18,.43,2.69
08/06/2020,13:46,28.23,2.12,8.85,10.39,134.1,7.5,.42,2.42
08/06/2020,14:01,28.4,2.11,8.9,10.7,138.5,8.77,.45,2.97
08/06/2020,14:16,28.4,2.11,8.93,10.98,142.1,8.87,.44,3.1
08/06/2020,14:31,28.31,2.11,8.93,11.09,143.3,9.15,.47,3.2
08/06/2020,14:46,28.25,2.12,8.88,10.89,140.6,8.63,.47,3.01
08/06/2020,15:01,28.08,2.11,8.91,11.13,143.2,9.03,.49,3.78
08/06/2020,15:16,27.94,2.11,8.89,11.06,142,9.11,.55,3.33
08/06/2020,15:31,27.93,2.11,8.88,11.06,141.9,9.03,.53,3.52
08/06/2020,15:46,28.02,2.11,8.9,11.24,144.5,9.61,.54,3.22
08/06/2020,16:01,27.95,2.11,8.91,11.23,144.2,8.9,.54,3.43
08/06/2020,16:16,27.91,2.11,8.93,11.33,145.3,9.25,.52,3.57
08/06/2020,16:31,27.89,2.1,8.94,11.38,146,9.72,.61,3.64
08/06/2020,16:46,27.93,2.11,8.95,11.33,145.4,9.48,.55,3.06
08/06/2020,17:01,28.12,2.11,9,11.7,150.7,9.46,.54,3.05
08/06/2020,17:16,28.09,2.11,9.01,11.68,150.3,9.84,.57,5.34
08/06/2020,17:31,28.1,2.11,9,11.64,149.9,10.04,.58,2.41
08/06/2020,17:46,28.05,2.11,9.01,11.69,150.3,8.81,.59,3.47
08/06/2020,18:01,28.02,2.11,9,11.66,150,9.89,.62,4.03
08/06/2020,18:16,28.07,2.11,9.02,11.83,152.2,10.1,.58,4.44
08/06/2020,18:31,28.01,2.11,8.98,11.6,149.1,9.9,.62,4.82
08/06/2020,18:46,27.99,2.11,9.02,11.76,151.1,9.6,.64,2.85
08/06/2020,19:01,27.97,2.11,9.03,11.72,150.6,9,.63,2.35
08/06/2020,19:16,27.95,2.11,9,11.63,149.3,8.76,.64,3.84
08/06/2020,19:31,27.91,2.11,9,11.61,149,9.69,.67,7.42
08/06/2020,19:46,27.88,2.11,9.01,11.63,149.1,9.77,.68,4.75
08/06/2020,20:01,27.83,2.11,9.01,11.57,148.2,11.02,.73,4.33
08/06/2020,20:16,27.77,2.11,8.96,11.31,144.7,10.08,.73,3.98
08/06/2020,20:31,27.75,2.11,8.98,11.38,145.7,9.73,.75,6.07
08/06/2020,20:46,27.72,2.11,8.98,11.32,144.8,8.42,.72,4.38
08/06/2020,21:01,27.69,2.11,8.96,11.2,143.2,8.78,.76,4.52
08/06/2020,21:16,27.65,2.11,8.96,11.18,142.8,9.06,.74,4.58
08/06/2020,21:31,27.61,2.1,8.97,11.24,143.4,9.23,.67,2.76
08/06/2020,21:46,27.58,2.1,8.95,11.15,142.3,8.5,.76,3.14
08/06/2020,22:01,27.55,2.1,8.95,11.12,141.7,9.17,.76,7.93
08/06/2020,22:16,27.53,2.11,8.93,11.01,140.3,9.11,.71,3.64
08/06/2020,22:31,27.5,2.11,8.92,10.83,138,11.31,.65,3.48
08/06/2020,22:46,27.48,2.11,8.93,10.89,138.7,9.05,.66,2.4
08/06/2020,23:01,27.44,2.11,8.93,10.83,137.8,6.16,.72,3.07
08/06/2020,23:16,27.44,2.11,8.91,10.7,136.2,9.34,.71,4.01
08/06/2020,23:31,27.42,2.11,8.9,10.64,135.3,8.52,.79,4.07
08/06/2020,23:46,27.4,2.11,8.89,10.5,133.5,9.8,.69,4.45
08/07/2020,00:01,27.36,2.11,8.89,10.55,134.1,9.6,.75,3.23
08/07/2020,00:16,27.35,2.11,8.88,10.51,133.5,8.66,.7,4.41
