date,time edt,temp c,spcond (ms/cm),ph,do (mg/l),do (%),turbidity (fnu),chlorophyll (rfu),phycocyanin (rfu),est. cyano (cells/ml),est.chl a (ug/l)
05/14/2024,12:30,17.63,.51,7.16,8.73,91.6,1.36,1.87,.24,-7700,7.9
05/14/2024,12:45,17.78,.51,7.16,8.78,92.5,1.5,2,.24,-5900,8.1
05/14/2024,13:00,17.82,.51,7.15,8.82,93,1.52,2.09,.25,-4100,8.2
05/14/2024,13:15,17.91,.51,7.14,8.85,93.4,1.55,2.36,.27,-3800,8.4
05/14/2024,13:30,17.93,.51,7.14,8.88,93.8,1.54,2.29,.26,-3600,8.6
05/14/2024,13:45,17.99,.51,7.15,8.9,94.1,1.58,2.28,.26,-3300,8.9
05/14/2024,14:00,18.14,.51,7.14,8.93,94.8,1.57,2.19,.26,-3100,9
05/14/2024,14:15,18.11,.51,7.15,8.95,94.9,1.59,2.29,.27,-2900,9.1
05/14/2024,14:30,18.15,.51,7.15,8.97,95.2,1.65,2.37,.29,-2600,9.3
05/14/2024,14:45,18.18,.51,7.16,9.02,95.8,1.65,2.75,.3,-2200,9.3
05/14/2024,15:00,18.31,.51,7.17,9.07,96.6,1.52,2.25,.22,-2200,9.3
05/14/2024,15:15,18.26,.51,7.16,9.11,96.9,1.56,2.51,.31,-2200,9.3
05/14/2024,15:30,18.31,.51,7.17,9.13,97.2,1.65,2.63,.29,-1900,9.6
05/14/2024,15:45,18.4,.51,7.18,9.21,98.2,1.54,2.61,.37,-2000,10
05/14/2024,16:00,18.41,.51,7.19,9.2,98.1,1.7,3.19,.3,-1000,10.4
05/14/2024,16:15,18.42,.51,7.19,9.22,98.4,1.6,2.67,.31,-900,10.6
05/14/2024,16:30,18.38,.51,7.18,9.22,98.3,1.66,2.77,.34,-900,10.8
05/14/2024,16:45,18.54,.51,7.22,9.36,100.1,1.58,2.73,.33,-1800,10.8
05/14/2024,17:00,18.52,.51,7.23,9.37,100.2,1.56,2.93,.34,-1800,11.1
05/14/2024,17:15,18.51,.51,7.22,9.36,100,1.81,3.05,.34,-900,11.4
05/14/2024,17:30,18.5,.51,7.23,9.38,100.2,1.69,2.97,.34,-800,11.7
05/14/2024,17:45,18.53,.51,7.23,9.42,100.7,1.58,2.91,.35,-800,11.9
05/14/2024,18:00,18.44,.51,7.22,9.32,99.5,1.7,2.82,.34,-800,11.8
05/14/2024,18:15,18.4,.51,7.21,9.28,98.9,1.61,2.65,.32,-600,11.8
05/14/2024,18:30,18.4,.51,7.21,9.26,98.8,1.64,2.7,.3,-900,11.8
05/14/2024,18:45,18.38,.51,7.21,9.27,98.8,1.78,2.6,.3,100,11.8
05/14/2024,19:00,18.38,.51,7.2,9.21,98.2,1.9,2.71,.3,900,11.4
05/14/2024,19:15,18.34,.52,7.21,9.22,98.3,1.57,2.7,.29,100,11
05/14/2024,19:30,18.33,.52,7.2,9.2,98,1.56,2.64,.32,-900,11
05/14/2024,19:45,18.3,.52,7.2,9.15,97.4,1.7,2.44,.29,300,10.8
05/14/2024,20:00,18.29,.52,7.2,9.18,97.6,1.65,2.63,.26,-400,10.7
05/14/2024,20:15,18.29,.52,7.18,9.05,96.3,1.86,2.7,.27,400,10.7
05/14/2024,20:30,18.25,.52,7.19,9.13,97,1.63,2.6,.29,400,10.6
05/14/2024,20:45,18.25,.52,7.19,9.12,97,1.64,2.82,.31,-400,10.7
05/14/2024,21:00,18.23,.52,7.19,9.1,96.7,1.56,2.72,.31,-600,10.7
05/14/2024,21:15,18.21,.52,7.19,9.1,96.7,1.64,2.71,.26,-500,10.7
05/14/2024,21:30,18.2,.52,7.18,9.08,96.4,1.65,2.68,.25,-400,10.6
05/14/2024,21:45,18.19,.53,7.17,9.05,96.1,1.76,2.6,.29,-400,10.6
05/14/2024,22:00,18.15,.53,7.18,9.04,96,1.67,2.52,.26,-400,10.6
05/14/2024,22:15,18.12,.53,7.18,9.01,95.6,1.81,2.47,.24,-400,10.4
05/14/2024,22:30,18.11,.53,7.18,9.01,95.5,1.66,2.49,.22,-100,10.3
