name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"42.3572011,-71.0791449",2024-05-15,69.4,57.3,63,69.4,57.3,63,56.3,79.2,0.066,100,20.83,rain,0,0,13.9,13.2,165.3,1012.1,95.5,9.8,100,8.7,5,10,2024-05-15T05:22:24,2024-05-15T19:59:42,0.25,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-05-16,60.4,54,56.4,60.4,54,56.4,53.4,89.9,0.6,100,66.67,rain,0,0,27.5,17.6,42.6,1010.8,94.8,7.7,40,3.3,2,10,2024-05-16T05:21:25,2024-05-16T20:00:43,0.28,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-05-17,64.5,51.9,57.7,64.5,51.9,57.7,50.5,77.7,0,0,0,,0,0,25.9,16.1,35.3,1015.2,74.8,9.9,207.5,17.9,8,10,2024-05-17T05:20:28,2024-05-17T20:01:44,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-05-18,58.2,53.2,55.5,58.2,53.2,55.5,51,85,0.231,100,29.17,rain,0,0,25.3,16.7,34.9,1016.4,97.4,8.6,53.3,4.7,2,10,2024-05-18T05:19:33,2024-05-18T20:02:43,0.34,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-05-19,56.2,52.1,53.9,56.2,52.1,53.9,52.3,94.6,0.404,100,41.67,rain,0,0,20.8,15.5,42.4,1016.9,98.5,5.5,50,4.1,2,10,2024-05-19T05:18:39,2024-05-19T20:03:42,0.37,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-05-20,60.8,51.9,55.7,60.8,51.9,55.7,51.4,85.5,0,0,0,,0,0,13.9,10.1,76.4,1017.4,83.3,9.9,169,14.6,10,10,2024-05-20T05:17:48,2024-05-20T20:04:41,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-05-21,84.1,53.2,66.7,85.1,53.2,66.8,57.8,74.9,0,0,0,,0,0,20.8,13.5,185.3,1013.9,72.9,9.8,223,19.3,9,10,2024-05-21T05:16:58,2024-05-21T20:05:38,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-05-22,88.2,60.9,74.1,87,60.9,74.1,59.2,62.6,0,0,0,,0,0,25.9,17.7,208.2,1012.1,27.3,9.9,238.2,20.7,9,10,2024-05-22T05:16:10,2024-05-22T20:06:35,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-05-23,77.1,64.8,71,77.1,64.8,71,62.3,74.7,0.091,100,16.67,rain,0,0,21.9,14.5,211.2,1009.3,67.9,9.7,85.7,7.3,4,30,2024-05-23T05:15:24,2024-05-23T20:07:31,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-05-24,84.5,60.4,74.9,81.9,60.4,74.2,47.5,40.4,0.005,100,4.17,rain,0,0,32.4,20.4,259.9,1008.1,28.2,9.8,245,21.2,9,10,2024-05-24T05:14:40,2024-05-24T20:08:26,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-05-25,71.3,59.3,65.6,71.3,59.3,65.6,47.3,51.9,0,0,0,,0,0,18.3,15.3,109.1,1011.2,46.1,9.9,262.5,22.7,9,10,2024-05-25T05:13:57,2024-05-25T20:09:20,0.57,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-05-26,68.2,60.1,63.9,68.2,60.1,63.9,57.2,79.3,0.14,100,33.33,rain,0,0,12.8,10.3,94.9,1013.4,71.6,9.9,196.5,16.9,9,10,2024-05-26T05:13:17,2024-05-26T20:10:12,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-05-27,73.3,59.4,64.3,73.3,59.4,64.3,61.8,92.1,0.011,100,4.17,rain,0,0,28.2,18.1,109.2,1013.6,99,5.2,63.8,5.5,2,10,2024-05-27T05:12:39,2024-05-27T20:11:04,0.65,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
