name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"42.3572011,-71.0791449",2024-08-01T00:00:00,75,75,72.1,90.69,0,0,,0,0,12.8,6.7,200,1011,99.5,9.9,0,0,0,10,Overcast,cloudy,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-08-01T01:00:00,75,75,71.3,88.23,0,0,,0,0,11.4,7.9,192,1010.7,54.2,9.9,0,0,0,10,Partially cloudy,partly-cloudy-night,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-08-01T02:00:00,75.8,75.8,72.1,88.27,0,0,,0,0,10.3,10.9,229,1010.6,47.5,9.9,0,0,0,10,Partially cloudy,partly-cloudy-night,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-08-01T03:00:00,74.9,74.9,72,90.87,0,0,,0,0,11.4,9.8,231,1010.6,0,9.9,0,0,0,10,Clear,clear-night,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-08-01T04:00:00,74.8,74.8,71.1,88.29,0,0,,0,0,10.3,9.7,259,1010.3,24.2,9.9,0,0,0,10,Partially cloudy,partly-cloudy-night,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-08-01T05:00:00,74.8,74.8,71.1,88.42,0,0,,0,0,10.3,10.8,249,1010.5,45.2,9.9,0,0,0,3,Partially cloudy,partly-cloudy-night,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-08-01T06:00:00,74.8,74.8,71.1,88.24,0,0,,0,0,10.3,9.8,259,1010.9,25.6,9.9,11,0,0,10,Partially cloudy,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-08-01T07:00:00,76.8,76.8,71.2,82.72,0,0,,0,0,11.4,8.9,269,1011.4,45.2,9.9,93,0.3,1,10,Partially cloudy,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-08-01T08:00:00,79.8,79.8,70.2,72.53,0,0,,0,0,11.4,10.9,272,1011.7,80.2,9.9,128,0.5,1,10,Partially cloudy,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
"42.3572011,-71.0791449",2024-08-01T09:00:00,82.1,86.1,70.3,67.53,0,0,,0,0,11.4,9.1,300,1012.1,45.2,9.9,517,1.9,5,10,Partially cloudy,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
